group,n,曲線的,シンプル,上品,にぎやか,さわやか,高級・リッチ・ゴージャス,かわいい,かっこいい,清潔感,スタイリッシュ,ポップ,やさしい・ナチュラル,堅実・誠実・信頼感
スポーツ,29,0,37.9,6.9,34.5,24.1,3.4,6.9,51.7,10.3,41.4,17.2,3.4,24.1
旅行・ホテル・観光,159,0,31.4,39,19.5,11.3,17,13.8,11.3,14.5,20.1,21.4,31.4,17.6
美容,121,0.8,32.2,49.6,2.5,22.3,8.3,24,13.2,39.7,27.3,1.7,40.5,3.3
エンタメ・趣味・娯楽,180,0,34.4,12.8,37.2,11.7,3.3,27.2,26.1,10.6,23.3,36.7,19.4,6.1
製品・工業・素材,145,0,42.8,26.2,6.2,10.3,6.2,6.9,24.1,22.1,38.6,11.7,20,47.6
金融・保険・会計・法律,54,0,33.3,13,13,24.1,3.7,13,16.7,22.2,24.1,24.1,22.2,57.4
ファッション・アクセサリー,78,0,42.3,42.3,7.7,7.7,16.7,17.9,24.4,9,42.3,17.9,20.5,6.4
就職・人材サービス,35,0,25.7,14.3,17.1,20,0,11.4,14.3,31.4,45.7,22.9,17.1,45.7
インフラ,26,0,26.9,3.8,15.4,23.1,0,15.4,26.9,19.2,50,23.1,7.7,57.7
不動産・建築・空間・施設,162,0,38.9,17.3,13.6,13.6,4.9,9.9,24.1,20.4,34.6,16,28.4,43.2
アート,42,0,28.6,33.3,11.9,2.4,11.9,11.9,28.6,19,50,14.3,11.9,23.8
車・バイク他,18,0,38.9,5.6,5.6,27.8,5.6,16.7,27.8,11.1,55.6,33.3,5.6,16.7
事業・組織,76,0,35.5,10.5,10.5,15.8,3.9,15.8,25,11.8,36.8,25,19.7,39.5
暮らし商品・サービス,155,0,43.2,25.2,12.9,13.5,7.1,15.5,7.1,28.4,32.9,20.6,42.6,16.1
飲食・食品・飲料,500,0.4,29.8,37.8,17.6,10.4,17.6,24,8.6,12.2,19,22,33.4,14.2
行政・NPO・団体・協会,69,1.4,49.3,18.8,7.2,13,1.4,29,13,20.3,15.9,18.8,39.1,23.2
出版・メディア,56,0,32.1,14.3,23.2,14.3,1.8,12.5,25,19.6,57.1,30.4,17.9,10.7
教育・学校,80,0,25,11.3,31.3,30,0,38.8,8.8,21.3,15,32.5,41.3,27.5
医療・ヘルスケア・健康,105,1.9,22.9,15.2,10.5,31.4,0,22.9,4.8,45.7,15.2,19,54.3,30.5
クリエイティブ制作,105,0,47.6,17.1,13.3,9.5,3.8,9.5,30.5,6.7,53.3,30.5,16.2,16.2
WEB・クラウドサービス,83,0,47,8.4,10.8,14.5,0,9.6,34.9,15.7,50.6,19.3,8.4,33.7
ウェディング,26,0,23.1,76.9,0,7.7,46.2,15.4,7.7,23.1,23.1,0,19.2,15.4
広告・マーケティング,64,1.6,39.1,10.9,18.8,6.3,1.6,10.9,34.4,20.3,48.4,21.9,7.8,34.4
IT・システム,142,0,39.4,5.6,14.8,21.1,0,6.3,30.3,21.1,56.3,16.9,4.9,40.8
その他,64,0,26.6,29.7,15.6,14.1,6.3,17.2,17.2,7.8,26.6,17.2,32.8,34.4
