id,slug,name,count
79,sports,スポーツ,29
6,travel,旅行・ホテル・観光,159
7,beauty,美容,121
20,entertainment,エンタメ・趣味・娯楽,180
21,product,製品・工業・素材,145
28,finance,金融・保険・会計・法律,54
29,fashion,ファッション・アクセサリー,78
30,find-work,就職・人材サービス,35
31,infrastructure,インフラ,26
32,architecture,不動産・建築・空間・施設,162
33,art,アート,42
34,car-bike,車・バイク他,18
35,business,事業・組織,76
36,living-products,暮らし商品・サービス,155
37,food,飲食・食品・飲料,500
38,government,行政・NPO・団体・協会,69
40,media,出版・メディア,56
41,school,教育・学校,80
42,health,医療・ヘルスケア・健康,105
43,creative,クリエイティブ制作,105
44,web-cloud-service,WEB・クラウドサービス,83
45,wedding,ウェディング,26
46,advertisement,広告・マーケティング,64
47,it-system,IT・システム,142
39,others,その他,64
