group,n,鮮やか,深い,くすんだ,渋い,明るい,浅い,暗い,濁った,強い,柔らかい,薄い,重い
スポーツ,29,44.8,17.2,6.9,3.4,62.1,0,13.8,0,48.3,3.4,3.4,10.3
旅行・ホテル・観光,159,23.9,25.2,27,19.5,49.1,4.4,8.2,0.6,8.8,34,8.2,3.1
美容,121,26.4,13.2,34.7,2.5,66.1,13.2,3.3,2.5,11.6,45.5,19.8,2.5
エンタメ・趣味・娯楽,180,39.4,17.2,19.4,3.3,60.6,3.3,8.3,3.9,21.7,27.8,11.7,5
製品・工業・素材,145,29,22.8,24.1,17.2,58.6,9,11,1.4,19.3,17.9,13.8,7.6
金融・保険・会計・法律,54,31.5,14.8,20.4,0,74.1,5.6,7.4,1.9,18.5,33.3,9.3,5.6
ファッション・アクセサリー,78,15.4,14.1,33.3,9,46.2,1.3,9,5.1,19.2,33.3,9,9
就職・人材サービス,35,37.1,8.6,17.1,2.9,80,8.6,5.7,0,17.1,28.6,20,5.7
インフラ,26,38.5,11.5,11.5,0,65.4,11.5,11.5,0,23.1,34.6,3.8,11.5
不動産・建築・空間・施設,162,24.7,16,19.8,11.1,64.8,8,3.7,3.7,18.5,33.3,9.9,6.2
アート,42,42.9,11.9,14.3,7.1,50,2.4,14.3,7.1,33.3,16.7,9.5,9.5
車・バイク他,18,33.3,5.6,16.7,0,77.8,16.7,5.6,0,22.2,16.7,5.6,0
事業・組織,76,40.8,15.8,19.7,7.9,61.8,6.6,7.9,1.3,31.6,17.1,5.3,2.6
暮らし商品・サービス,155,22.6,20.6,32.9,7.1,52.9,10.3,7.1,3.9,8.4,35.5,16.8,0.6
飲食・食品・飲料,500,30.8,20.8,29.4,16.8,54.4,5,8.6,1.4,12.2,35,10.4,5
行政・NPO・団体・協会,69,24.6,13,30.4,10.1,58,10.1,2.9,2.9,11.6,40.6,5.8,1.4
出版・メディア,56,41.1,8.9,19.6,5.4,55.4,7.1,10.7,5.4,14.3,30.4,7.1,5.4
教育・学校,80,42.5,3.8,12.5,1.3,76.3,11.3,3.8,1.3,10,42.5,13.8,0
医療・ヘルスケア・健康,105,23.8,5.7,16.2,3.8,78.1,10.5,2.9,1,2.9,56.2,16.2,1.9
クリエイティブ制作,105,31.4,13.3,18.1,3.8,53.3,9.5,8.6,1.9,28.6,16.2,11.4,9.5
WEB・クラウドサービス,83,38.6,6,22.9,1.2,65.1,8.4,12,13.3,20.5,12,9.6,13.3
ウェディング,26,23.1,23.1,26.9,3.8,65.4,7.7,11.5,3.8,3.8,50,19.2,3.8
広告・マーケティング,64,40.6,17.2,29.7,1.6,59.4,3.1,14.1,7.8,26.6,7.8,7.8,4.7
IT・システム,142,26.1,12,20.4,1.4,58.5,7.7,14.8,7,20.4,13.4,10.6,12
その他,64,23.4,15.6,23.4,7.8,51.6,3.1,9.4,3.1,7.8,46.9,12.5,9.4
