group,n,コーポレートサイト,EC・WEBサービス,特設・キャンペーンサイト,サービス紹介,採用サイト,商品・製品紹介,店舗・施設紹介,メディア・ポータル,ポートフォリオ
スポーツ,29,3,1,5,7,1,9,10,2,1
旅行・ホテル・観光,159,31,17,19,39,1,10,103,19,1
美容,121,23,26,6,20,1,65,33,4,0
エンタメ・趣味・娯楽,180,32,9,87,29,6,15,44,8,1
製品・工業・素材,145,96,21,12,16,3,57,7,4,1
金融・保険・会計・法律,54,35,1,4,16,5,1,2,0,0
ファッション・アクセサリー,78,30,15,10,11,3,36,8,4,1
就職・人材サービス,35,19,0,1,13,7,0,1,2,0
インフラ,26,18,0,3,7,4,3,0,2,0
不動産・建築・空間・施設,162,95,6,8,45,10,11,45,5,9
アート,42,3,2,15,1,0,4,18,1,4
車・バイク他,18,5,2,3,9,0,8,0,2,0
事業・組織,76,39,2,17,18,10,4,8,6,0
暮らし商品・サービス,155,44,34,17,50,1,70,26,11,2
飲食・食品・飲料,500,97,91,30,33,10,301,202,10,0
行政・NPO・団体・協会,69,13,1,29,7,3,0,7,21,1
出版・メディア,56,17,1,7,4,4,1,1,25,1
教育・学校,80,16,0,16,21,1,1,40,3,0
医療・ヘルスケア・健康,105,32,1,6,43,7,15,40,4,0
クリエイティブ制作,105,79,5,6,16,3,5,4,3,10
WEB・クラウドサービス,83,65,2,3,8,7,2,0,5,0
ウェディング,26,7,1,0,16,1,0,12,0,0
広告・マーケティング,64,50,1,5,7,9,1,1,0,0
IT・システム,142,118,4,2,42,13,6,0,1,0
その他,64,24,1,11,15,3,8,15,2,2
